decade,timeline
1970,"met,   1,romantic,  5,lived, 23,married,-99"
1970,"met,   1,romantic,  3,lived, 14,married,-99"
1970,"met,   1,romantic,  3,lived, 24,married,-99"
1970,"met,   2,romantic,  4,lived,  6,married,-99"
1970,"met,   1,romantic,  5,lived,  4,married,-99"
2010,"met,   2,romantic,  4,lived,  3,married,-99"
2010,"met,   1,romantic,  4,lived,  2,married,-99"
2010,"met,   1,romantic,  2,lived,  3,married,-99"
2010,"met,   1,romantic,  3,lived,  2,married,-99"
2010,"met,   2,romantic,  4,lived,  4,married,-99"
2010,"met,   1,romantic, 11,lived,  2,married,-99"
2010,"met,   2,romantic,  2,lived,  4,married,-99"
2010,"met,   1,romantic,  3,lived,  5,married,-99"
2010,"met,   1,romantic,  5,lived,  7,married,-99"
2010,"met,   2,romantic,  7,lived,  4,married,-99"
2010,"met,   1,romantic, 14,lived,  4,married,-99"
2010,"met,   4,romantic, 14,lived,  9,married,-99"
2010,"met,   2,romantic,  2,lived,  3,married,-99"
2010,"met,   2,romantic,  4,lived,  2,married,-99"
2010,"met,   1,romantic,  5,lived,  6,married,-99"
2010,"met,   2,romantic,  6,lived,  6,married,-99"
2010,"met,   2,romantic,  7,lived,  4,married,-99"
2010,"met,   1,romantic,  4,lived,  3,married,-99"
2010,"met,   1,romantic,  1,lived,  4,married,-99"
2010,"met,   2,romantic,  4,lived,  2,married,-99"
2010,"met,   1,romantic,  3,lived,  4,married,-99"
2010,"met,   1,romantic,  3,lived, 12,married,-99"
2010,"met,   2,romantic, 10,lived, 24,married,-99"
2010,"met,   2,romantic,  2,lived,  1,married,-99"
2010,"met,   1,romantic,  4,lived,  0,married,-99"
2010,"met,   2,romantic,  2,lived,  2,married,-99"
2010,"met,   1,romantic,  3,lived,  3,married,-99"
2010,"met,   2,romantic,  4,lived,  6,married,-99"
2010,"met,   1,romantic,  5,lived,  3,married,-99"
2010,"met,   2,romantic,  4,lived, 10,married,-99"
2010,"met,   2,romantic,  3,lived, 17,married,-99"
2010,"met,   2,romantic,  1,lived, 10,married,-99"
